	Date	Retailer	Company	Margin	Amount
222	8/6/2019	PulseCraft Depot	NexaGrid Solutions	24.20	104.00
223	8/6/2019	PulseCraft Depot	SupraVolt Manufacturing	55.45	250.00
224	8/6/2019	PulseCraft Depot	OrionVolt Systems	90.44	412.40
225	8/6/2019	Cash	BharatElectra Works	-293.81	16712.60
226	8/7/2019	VoltVision	BharatElectra Works	-244.63	4285.90
227	8/7/2019	VoltVision	BharatElectra Works	-376.26	6990.19
228	8/7/2019	VoltVision	BharatElectra Works	-370.70	6055.79
229	8/7/2019	VoltVision	BharatElectra Works	-295.76	4968.05
230	8/7/2019	PulseCraft Depot	Others	27.64	65.80
231	8/7/2019	PulseCraft Depot	Others	210.97	621.00
232	8/7/2019	PulseCraft Depot	PowerShakti Engineering	14.44	820.40
233	8/7/2019	PulseCraft Depot	Others	-20.88	95.00
234	8/7/2019	PulseCraft Depot	OrionVolt Systems	168.82	466.60
235	8/7/2019	PulseCraft Depot	FusionAnchor Technologies	88.43	288.34
236	8/7/2019	PulseCraft Depot	FusionAnchor Technologies	26.54	68.60
237	8/7/2019	PulseCraft Depot	FusionAnchor Technologies	58.76	169.60
238	8/7/2019	PulseCraft Depot	FusionAnchor Technologies	46.91	147.20
239	8/7/2019	Cash	AnchorVolt Industries	35.68	148.22
240	8/7/2019	Cash	AnchorVolt Industries	35.55	122.84
241	8/7/2019	Cash	AnchorVolt Industries	59.62	174.26
242	8/7/2019	Cash	AnchorVolt Industries	14.86	50.34
243	8/7/2019	Cash	AnchorVolt Industries	19.16	83.44
244	8/7/2019	Cash	AnchorVolt Industries	135.27	402.50
245	8/7/2019	Cash	DynoAnchor Works	9.91	56.74
246	8/7/2019	Cash	PulseHavell Solutions	45.36	94.25
247	8/7/2019	Cash	VoltIndus Fabrications	56.39	192.20
248	8/7/2019	Cash	VoltIndus Fabrications	253.98	782.30
249	8/7/2019	Cash	OrionVolt Systems	38.68	105.70
250	8/8/2019	CurrentCraft	AnchorVolt Industries	187.23	1469.00
251	8/8/2019	CurrentCraft	AnchorVolt Industries	429.15	3857.00
252	8/8/2019	CurrentCraft	OrionVolt Systems	376.93	1505.40
253	8/8/2019	CurrentCraft	OrionVolt Systems	160.57	946.74
254	8/8/2019	CurrentCraft	OrionVolt Systems	392.95	1580.32
255	8/8/2019	ElectroEmpire	OrionVolt Systems	881.91	5131.66
256	8/8/2019	ElectroEmpire	OrionVolt Systems	1050.07	5052.00
257	8/8/2019	PulseCraft Depot	ZenithWeld Electric	631.80	898.00
258	8/8/2019	Cash	SupraVolt Manufacturing	30.94	265.00
259	8/9/2019	PowerSphere	AnchorVolt Industries	2083.88	5549.00
260	8/9/2019	PowerSphere	AnchorVolt Industries	325.23	2323.00
261	8/9/2019	PowerSphere	AnchorVolt Industries	552.61	3940.00
262	8/9/2019	PowerSphere	AnchorVolt Industries	298.36	2594.20
263	8/9/2019	PowerSphere	AnchorVolt Industries	204.65	1403.40
264	8/9/2019	PowerSphere	AnchorVolt Industries	267.73	1589.20
265	8/9/2019	PowerSphere	AnchorVolt Industries	500.77	4060.20
266	8/9/2019	PowerSphere	AnchorVolt Industries	1024.17	5008.00
267	8/9/2019	PowerSphere	AnchorVolt Industries	439.94	2769.60
268	8/9/2019	PowerSphere	AnchorVolt Industries	328.47	2045.80
269	8/9/2019	PowerSphere	AnchorVolt Industries	305.55	2314.00
270	8/9/2019	PowerSphere	AnchorVolt Industries	102.94	2462.00
271	8/9/2019	PowerSphere	AnchorVolt Industries	206.05	1506.80
272	8/9/2019	PowerSphere	PowerCrest Engineering	91.10	496.50
273	8/9/2019	PowerSphere	PowerCrest Engineering	152.96	953.00
274	8/9/2019	PowerSphere	SupraVolt Manufacturing	139.89	590.00
275	8/9/2019	PowerSphere	OrionVolt Systems	1454.68	5332.00
276	8/9/2019	PowerSphere	OrionVolt Systems	298.63	1725.00
277	8/9/2019	PulseCraft Depot	BharatElectra Works	-76.89	2062.90
278	8/9/2019	PulseCraft Depot	HavellCore Technologies	-2.36	561.00
279	8/9/2019	PulseCraft Depot	ElectraBharat Manufacturing	38.70	286.00
280	8/10/2019	ElectroVault	AnchorVolt Industries	907.14	6939.00
281	8/10/2019	ElectroVault	AnchorVolt Industries	999.30	6165.00
282	8/10/2019	ElectroVault	OrionVolt Systems	1013.58	3916.20
283	8/10/2019	ElectroVault	OrionVolt Systems	501.01	2368.80
284	8/10/2019	WattWorld	AnchorVolt Industries	154.55	1160.00
285	8/10/2019	WattWorld	AnchorVolt Industries	73.47	228.30
286	8/10/2019	WattWorld	OrionVolt Systems	112.32	675.40
287	8/10/2019	PulseCraft Depot	AnchorVolt Industries	37.82	138.20
288	8/10/2019	PulseCraft Depot	AnchorVolt Industries	27.20	79.44
289	8/10/2019	PulseCraft Depot	VoltStar Technologies	102.24	201.60
290	8/10/2019	PulseCraft Depot	OrionVolt Systems	26.99	99.15
291	8/13/2019	Cash	ApexVolt Industries	10.27	93.00
292	8/13/2019	Cash	HavellCore Technologies	6.15	24.00
293	8/13/2019	Cash	SupraVolt Manufacturing	22.85	41.00
294	8/12/2019	Cash	AnchorVolt Industries	992.00	1074.00
295	8/12/2019	Cash	BharatElectra Works	470.00	513.00
296	8/15/2019	WattWorks	Others	140.48	1633.73
297	8/15/2019	WattWorks	OrionVolt Systems	36.83	322.00
298	8/15/2019	WattWorks	OrionVolt Systems	215.26	2520.00
299	8/15/2019	WattWorks	OrionVolt Systems	210.18	2534.00
300	8/15/2019	WattWorks	OrionVolt Systems	61.27	673.00
301	8/15/2019	WattWorks	OrionVolt Systems	300.94	3365.00
302	8/15/2019	WattWorks	OrionVolt Systems	295.94	3362.00
303	8/15/2019	PowerGrid	OrionVolt Systems	508.40	2665.00
304	8/15/2019	PowerGrid	OrionVolt Systems	1545.50	7568.00
305	8/15/2019	PowerGrid	OrionVolt Systems	534.40	3877.00
306	8/17/2019	ElectroSphere	AnchorVolt Industries	303.32	2587.20
307	8/17/2019	ElectroSphere	AnchorVolt Industries	380.88	2553.00
308	8/17/2019	ElectroSphere	AnchorVolt Industries	213.04	1642.25
309	8/17/2019	ElectroSphere	FusionAnchor Technologies	371.67	3197.70
310	8/17/2019	ElectroSphere	FusionAnchor Technologies	533.23	4051.34
311	8/17/2019	ElectroSphere	FusionAnchor Technologies	361.30	2667.34
312	8/17/2019	SparkHaven	OrionVolt Systems	3614.00	13306.00
313	8/24/2019	SparkWave	AnchorVolt Industries	253.26	2310.00
314	8/24/2019	SparkWave	ElectraBharat Manufacturing	472.18	4106.00
315	8/24/2019	SparkWave	ElectraBharat Manufacturing	156.07	1370.00
316	8/24/2019	SparkWave	ElectraBharat Manufacturing	312.12	2732.00
317	8/24/2019	SparkWave	SupraVolt Manufacturing	205.51	221.00
318	8/24/2019	SparkWave	SupraVolt Manufacturing	103.23	733.00
319	8/24/2019	SparkWave	SupraVolt Manufacturing	76.75	624.00
320	8/24/2019	SparkWave	SupraVolt Manufacturing	89.56	744.00
321	8/24/2019	SparkWave	SupraVolt Manufacturing	350.24	2249.70
322	8/18/2019	PulseCraft Depot	NexaGrid Solutions	33.91	393.08
323	8/18/2019	PulseCraft Depot	NexaGrid Solutions	3.67	89.26
324	8/18/2019	ElectroLink	AnchorVolt Industries	325.21	2319.00
325	8/18/2019	ElectroLink	AnchorVolt Industries	869.83	5516.20
326	8/18/2019	ElectroLink	AnchorVolt Industries	300.53	2324.00
327	8/18/2019	ElectroLink	OrionVolt Systems	356.61	1802.00
328	8/18/2019	ElectroLink	OrionVolt Systems	362.61	1792.00
329	8/18/2019	ElectroLink	OrionVolt Systems	113.68	505.76
330	8/18/2019	ElectroLink	OrionVolt Systems	112.56	949.40
331	8/18/2019	ElectroLink	FusionAnchor Technologies	186.15	1336.17
332	8/18/2019	BrightVolt	AnchorVolt Industries	64.49	274.40
333	8/18/2019	BrightVolt	AnchorVolt Industries	90.42	374.90
334	8/18/2019	BrightVolt	AnchorVolt Industries	66.21	251.30
335	8/18/2019	BrightVolt	AnchorVolt Industries	42.32	150.88
336	8/18/2019	BrightVolt	OrionVolt Systems	19.84	37.51
337	8/18/2019	Cash	ApexVolt Industries	504.00	541.00
338	8/18/2019	Cash	AnchorVolt Industries	1254.00	4310.20
339	8/18/2019	Cash	AnchorVolt Industries	804.38	2185.25
340	8/18/2019	Cash	AnchorVolt Industries	865.89	2445.39
341	8/18/2019	Cash	AnchorVolt Industries	754.23	2475.60
342	8/18/2019	Cash	AnchorVolt Industries	442.85	1379.92
343	8/18/2019	Cash	AnchorVolt Industries	785.52	2270.00
344	8/18/2019	Cash	AnchorVolt Industries	368.31	1157.07
345	8/18/2019	Cash	AnchorVolt Industries	1001.43	2932.20
346	8/18/2019	Cash	AnchorVolt Industries	194.26	557.37
347	8/18/2019	Cash	AnchorVolt Industries	556.01	1595.60
348	8/18/2019	Cash	AnchorVolt Industries	1302.92	3853.58
349	8/18/2019	Cash	AnchorVolt Industries	947.08	1522.00
350	8/18/2019	Cash	AnchorVolt Industries	40.79	184.80
351	8/18/2019	Cash	HavellCore Technologies	251.99	352.00
352	8/18/2019	Cash	SupraCharge Systems	558.53	3711.00
353	8/18/2019	Cash	Others	77.40	183.00
354	8/18/2019	Cash	PowerCrest Engineering	15.01	77.80
355	8/18/2019	Cash	VoltIndus Fabrications	876.44	3236.60
356	8/18/2019	Cash	OrionVolt Systems	823.41	1826.00
357	8/18/2019	Cash	OrionVolt Systems	48.68	129.93
358	8/18/2019	Cash	OrionVolt Systems	41.79	121.96
359	8/18/2019	Cash	OrionVolt Systems	212.80	368.00
360	8/19/2019	VoltVille	AnchorVolt Industries	105.27	706.70
361	8/19/2019	VoltVille	AnchorVolt Industries	130.31	804.10
362	8/19/2019	VoltVille	OrionVolt Systems	197.07	815.92
363	8/19/2019	VoltVille	OrionVolt Systems	108.65	497.76
364	8/19/2019	VoltVille	OrionVolt Systems	73.08	388.20
365	8/19/2019	VoltVille	OrionVolt Systems	111.08	680.40
366	8/19/2019	VoltVille	FusionAnchor Technologies	169.15	1384.82
367	8/19/2019	VoltVille	FusionAnchor Technologies	66.99	499.56
368	8/19/2019	VoltVille	FusionAnchor Technologies	74.86	623.58
369	8/19/2019	VoltVille	FusionAnchor Technologies	89.44	752.39
370	8/19/2019	VoltVille	FusionAnchor Technologies	126.43	1048.71
371	8/19/2019	VoltVille	FusionAnchor Technologies	146.14	1177.58
372	8/21/2019	PulseCraft Depot	ApexVolt Industries	21.17	52.00
373	8/21/2019	PulseCraft Depot	ApexVolt Industries	8.82	26.00
374	8/21/2019	PulseCraft Depot	ZenithCraft Engineering	409.00	2170.00
375	8/21/2019	PulseCraft Depot	VoltIndus Fabrications	36.73	186.00
376	8/22/2019	Cash	AnchorVolt Industries	198.14	612.80
377	8/22/2019	Cash	AnchorVolt Industries	144.64	746.40
378	8/22/2019	Cash	NexaGrid Solutions	449.19	5032.84
379	8/22/2019	Cash	PowerCrest Engineering	72.05	374.90
380	8/22/2019	Cash	OrionVolt Systems	164.27	365.00
381	8/22/2019	PulseCraft Depot	ApexVolt Industries	31.34	90.00
382	8/22/2019	PulseCraft Depot	HavellCore Technologies	4.46	19.04
383	8/22/2019	PulseCraft Depot	ElectroSaar Fabricators	39.23	73.20
384	8/22/2019	PulseCraft Depot	ElectroSaar Fabricators	47.87	118.00
385	8/23/2019	PulseCraft Depot	AnchorVolt Industries	709.20	2730.00
386	8/23/2019	Cash	AnchorVolt Industries	68.24	158.16
387	8/23/2019	Cash	AnchorVolt Industries	293.25	823.46
388	8/23/2019	Cash	AnchorVolt Industries	435.32	1423.20
389	8/23/2019	Cash	AnchorVolt Industries	43.13	135.01
390	8/23/2019	Cash	AnchorVolt Industries	165.97	462.60
391	8/23/2019	Cash	AnchorVolt Industries	104.67	305.35
392	8/23/2019	Cash	AnchorVolt Industries	26.89	83.60
393	8/23/2019	Cash	AnchorVolt Industries	21.60	69.60
394	8/23/2019	Cash	PowerCrest Engineering	12.01	44.90
395	8/23/2019	Cash	BharatElectra Works	424.81	1110.45
396	8/23/2019	Cash	OrionVolt Systems	93.20	375.96
